Datum,Elektrárna,Klasifikace,Kapacita(kW),PV(kWh),Prodej(kWh),Koupit(kWh),Spotřeba(kWh),Spotřebováno v domácnosti(kWh),Vlastní poměr(%),Contribution Ratio(%),Příjem(CZK)
19.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,24,15.43,0.06,8.43,8.37,35.17,99.29,120
20.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,26.2,14.57,0.03,11.76,11.73,44.6,99.74,131
21.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,25.9,14.59,0.02,10.93,10.91,42.78,99.82,129.5
22.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,27.1,19.01,0.03,7.72,7.69,28.8,99.61,135.5
23.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.4,0.11,0.04,8.33,8.29,98.69,99.52,22
24.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,23.1,8.07,0.1,16.23,16.13,66.65,99.38,115.5
25.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,21.4,6.84,0.78,10.44,9.66,58.55,92.53,107
26.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,5,0.13,0.12,11.89,11.77,98.91,98.99,25
27.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,20.9,4.59,4.71,16.32,11.61,71.67,71.14,104.5
28.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,6,0.15,0.98,10.83,9.85,98.5,90.95,30
29.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,6.7,0.09,2,7.71,5.71,98.45,74.06,33.5
30.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4,0.06,10.26,15.4,5.14,98.85,33.38,20
31.10.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.7,0.1,2.42,7.22,4.8,97.96,66.48,23.5
01.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,18.1,4.1,0.04,9.64,9.6,70.07,99.59,90.5
02.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,19.4,11.86,0.04,6.98,6.94,36.91,99.43,97
03.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1,0.09,0.03,7.84,7.81,98.86,99.62,5
04.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,16.4,3.38,0.04,5.56,5.52,62.02,99.28,82
05.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,5.4,0.15,0.03,7.38,7.35,98,99.59,27
06.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,10.3,2.05,0.03,5.48,5.45,72.67,99.45,51.5
07.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,20,8.44,0.06,10.52,10.46,55.34,99.43,100
08.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,12.3,7.72,0.02,4.7,4.68,37.74,99.57,61.5
09.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,19.2,11.94,0.02,8.68,8.66,42.04,99.77,96
10.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,2.5,0.12,0.04,7.42,7.38,98.4,99.46,12.5
11.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,7.1,0.16,0.08,7.12,7.04,97.78,98.88,35.5
12.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,4.4,0.2,1.39,9.69,8.3,97.65,85.66,22
13.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,8.1,0.15,4.42,12.77,8.35,98.24,65.39,40.5
14.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,7.7,0.11,1.39,5.58,4.19,97.44,75.09,38.5
15.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,2.1,0.11,0.06,5.75,5.69,98.1,98.96,10.5
16.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,8.1,0.13,4.94,12.71,7.77,98.35,61.13,40.5
17.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1.1,0.02,6.52,8.1,1.58,98.75,19.51,5.5
18.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1.4,0.04,7.56,9.32,1.76,97.78,18.88,7
19.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,2,0.04,17.21,20.07,2.86,98.62,14.25,10
20.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1.5,0.03,9.52,11.09,1.57,98.12,14.16,7.5
21.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,4.9,0.17,1.52,5.75,4.23,96.14,73.57,24.5
22.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.6,0,6.37,7.97,1.6,100,20.08,3
23.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,2.4,0.13,3.8,6.27,2.47,95,39.39,12
24.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,4.6,0.07,7.84,12.67,4.83,98.57,38.12,23
25.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.5,0.02,7.6,8.38,0.78,97.5,9.31,2.5
26.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.5,0.07,15.24,20.77,5.53,98.75,26.62,2.5
27.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.03,7.24,13.51,6.27,99.52,46.41,2
28.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.5,0.04,7.94,13.4,5.46,99.27,40.75,2.5
29.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,2.3,0.38,6.63,11.45,4.82,92.69,42.1,11.5
30.11.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,3.5,1.71,3.69,9.48,5.79,77.2,61.08,17.5
01.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,22.8,0.9,1.29,13.79,12.5,93.28,90.65,114
02.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.6,0.14,0.06,7.82,7.76,98.23,99.23,23
03.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,17.2,3.17,0.03,8.66,8.63,73.14,99.65,86
04.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.7,0.23,0.1,12.37,12.27,98.16,99.19,23.5
05.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,21.7,4.58,0.05,7.97,7.92,63.36,99.37,108.5
06.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,16.8,11.79,0.02,5.03,5.01,29.82,99.6,84
07.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,18.3,9.42,0.02,9.4,9.38,49.89,99.79,91.5
08.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,8,0.87,0.04,6.07,6.03,87.39,99.34,40
09.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,10.6,4.93,0.06,5.83,5.77,53.93,98.97,53
10.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.2,0.17,0.14,9.67,9.53,98.25,98.55,21
11.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,3.5,0.12,0.04,6.52,6.48,98.18,99.39,17.5
12.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.4,0.03,4.31,8.18,3.87,99.23,47.31,7
13.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.9,0.01,6.41,7.9,1.49,99.33,18.86,4.5
14.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,2.7,0.04,4.42,7.68,3.26,98.79,42.45,13.5
15.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.7,0.05,4.48,6.43,1.95,97.5,30.33,8.5
16.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,15.4,0.15,3.31,13.26,9.95,98.51,75.04,77
17.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.8,0.28,2.39,8.81,6.42,95.82,72.87,9
18.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,3.2,0.08,3.36,6.88,3.52,97.78,51.16,16
19.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,3.8,0.07,4.05,8.08,4.03,98.29,49.88,19
20.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,3.3,0.06,2.28,5.52,3.24,98.18,58.7,16.5
21.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,5.9,0.11,2.04,6.73,4.69,97.71,69.69,29.5
22.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.6,0.13,14.49,22.26,7.77,98.35,34.91,3
23.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,3.6,0.78,9.82,15.74,5.92,88.36,37.61,18
24.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.5,0.12,3.82,12.6,8.78,98.65,69.68,7.5
25.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,14.9,10.52,9.02,15.6,6.58,38.48,42.18,74.5
26.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,2.2,0.1,3.44,10.44,7,98.59,67.05,11
27.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,5.9,1.38,6.08,13.1,7.02,83.57,53.59,29.5
28.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.9,0.05,3.06,9.31,6.25,99.21,67.13,4.5
29.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.6,0.1,6.62,12.02,5.4,98.18,44.93,3
30.11.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,5,0.13,6.19,15.56,9.37,98.63,60.22,25
01.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1.6,0.07,4.89,17.62,12.73,99.45,72.25,8
02.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.3,0.04,13.1,18.46,5.36,99.26,29.04,1.5
03.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.3,0.05,6.86,12.61,5.75,99.14,45.6,1.5
04.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.3,0.03,7.35,15.42,8.07,99.63,52.33,1.5
05.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.3,0.11,10.43,23.52,13.09,99.17,55.65,1.5
06.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.2,0.05,15.68,21.03,5.35,99.07,25.44,1
07.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.3,0.04,7.09,14.45,7.36,99.46,50.93,1.5
08.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.3,0.09,9.56,17.07,7.51,98.82,44,1.5
09.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.08,9.04,15.16,6.12,98.71,40.37,2
10.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.3,0.07,7.78,15.51,7.73,99.1,49.84,1.5
11.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,6,1.58,9.49,18.81,9.32,85.5,49.55,30
12.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,3.3,0.09,6.15,13.36,7.21,98.77,53.97,16.5
13.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.7,0.04,5.2,14.56,9.36,99.57,64.29,3.5
14.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.7,0.09,10.65,19.36,8.71,98.98,44.99,3.5
15.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,5.1,0.63,10,18.67,8.67,93.23,46.44,25.5
16.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1,0.09,5.19,10.2,5.01,98.24,49.12,5
17.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1.6,0.15,5.32,11.67,6.35,97.69,54.41,8
18.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,14.6,9.44,6.23,13.49,7.26,43.47,53.82,73
19.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,5.5,0.14,0.05,6.41,6.36,97.85,99.22,27.5
20.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.8,0.04,4.37,12.13,7.76,99.49,63.97,4
21.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.8,0.07,8.95,19.48,10.53,99.34,54.06,4
22.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,2.2,0.12,11.68,19.76,8.08,98.54,40.89,11
23.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1,0.08,7.61,19.23,11.62,99.32,60.43,5
24.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.6,0.03,12.47,19.74,7.27,99.59,36.83,3
25.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,0.5,0.07,9.54,22.37,12.83,99.46,57.35,2.5
26.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,1.1,0.13,14.83,22.1,7.27,98.24,32.9,5.5
27.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,15.1,12.38,7.9,14.12,6.22,33.44,44.05,75.5
28.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,11.8,4.21,4.67,15.46,10.79,71.93,69.79,59
29.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,7.1,2.72,4.16,12.34,8.18,75.05,66.29,35.5
30.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,3.3,0.11,4.96,18.25,13.29,99.18,72.82,16.5
31.12.2023,HFVE Zapletal Simon,Úložiště baterie,7.6,3.2,0.16,12.06,27.3,15.24,98.96,55.82,16
01.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,15.7,2.34,0.03,11.39,11.36,82.92,99.74,78.5
02.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,13.2,4.52,0.06,8.24,8.18,64.41,99.27,66
03.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,3.9,0.1,0.02,5.72,5.7,98.28,99.65,19.5
04.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1,0.06,0.03,7.27,7.24,99.18,99.59,5
05.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.1,0.03,3.81,7.18,3.37,99.12,46.94,5.5
06.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.9,0.27,15.6,24.23,8.63,96.97,35.62,4.5
07.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.2,0.13,10.02,17.19,7.17,98.22,41.71,21
08.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.7,0.1,4.43,12.03,7.6,98.7,63.18,8.5
09.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.5,0.09,7.45,17.16,9.71,99.08,56.59,2.5
10.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.9,0.04,11.36,20.42,9.06,99.56,44.37,4.5
11.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.7,0.06,10.28,18.82,8.54,99.3,45.38,3.5
12.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.9,0.06,10.66,18.7,8.04,99.26,42.99,4.5
13.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.4,0.13,8.3,14.27,5.97,97.87,41.84,7
14.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.6,0.06,6.08,13.72,7.64,99.22,55.69,3
15.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.5,0.1,9.17,17.47,8.3,98.81,47.51,7.5
16.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.5,0.04,8.29,16.65,8.36,99.52,50.21,2.5
17.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.8,0.06,9.96,15.8,5.84,98.98,36.96,9
18.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,9.2,4.43,5.45,13.12,7.67,63.39,58.46,46
19.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,5.5,0.13,5.15,17.22,12.07,98.93,70.09,27.5
20.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.4,0.09,8.24,13.85,5.61,98.42,40.51,7
21.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.6,0.16,6.37,17.61,11.24,98.6,63.83,23
22.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,3.5,0.12,8.54,18.92,10.38,98.86,54.86,17.5
23.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.4,0.18,8.59,18.41,9.82,98.2,53.34,7
24.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.7,0.05,10.44,21.09,10.65,99.53,50.5,3.5
25.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,6.7,0.34,12.38,22.34,9.96,96.7,44.58,33.5
26.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,12,7.92,4.79,12.27,7.48,48.57,60.96,60
27.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,13.3,8.41,4.6,13.79,9.19,52.22,66.64,66.5
28.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,11,5.76,5.4,14.14,8.74,60.28,61.81,55
29.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,14.2,4.33,0.08,9.65,9.57,68.85,99.17,71
30.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,13.1,2.08,0.07,13.29,13.22,86.41,99.47,65.5
31.12.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.9,0.14,2.11,13.97,11.86,98.83,84.9,24.5
