datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,windspeedmax,windspeedmean,sunrise,sunset,normal.tempmax,normal.tempmin,normal.feelslike,normal.precip,normal.humidity,normal.snowdepth,normal.windspeed,normal.windgust,normal.winddir,normal.cloudcover
2023-09-11,26.4,13.8,19.8,26.4,13.8,19.8,13.6,69.3,0.0,0.0,,0.0,0.0,24.1,14.2,244.1,1015.8,8.6,30.0,212.9,18.3,7.0,14.2,8.6,06:17:49,19:11:03,"[10.9, 19.5, 27.0]","[5.8, 10.8, 14.2]","[1.7, 19.5, 27.2]","[0.0, 2.6, 10.1]","[48.3, 78.7, 96.9]","[0.0, 0.0, 0.0]","[10.8, 21.2, 40.7]","[39.6, 56.2, 86.4]","[40.0, 183.2, 286.6]","[5.9, 61.9, 100.0]"
2023-09-12,26.8,14.6,20.2,27.1,14.6,20.3,13.9,68.9,0.0,0.0,,0.0,0.0,25.2,11.4,222.4,1013.7,42.4,27.5,202.2,17.4,7.0,11.4,7.6,06:19:17,19:08:54,"[12.2, 18.8, 26.1]","[5.1, 10.1, 14.8]","[2.4, 18.8, 26.1]","[0.0, 2.0, 9.5]","[57.4, 78.5, 94.6]","[0.0, 0.0, 0.0]","[11.9, 22.0, 31.0]","[39.6, 55.4, 97.2]","[24.2, 187.8, 297.1]","[2.9, 57.8, 98.8]"
2023-09-13,25.9,15.1,19.8,25.9,15.1,19.8,14.5,72.8,2.352,25.0,['rain'],0.0,0.0,50.4,18.7,227.1,1013.5,64.5,22.9,181.5,15.9,6.0,18.7,10.4,06:20:44,19:06:44,"[8.7, 18.1, 25.6]","[4.1, 9.6, 14.2]","[0.1, 18.1, 25.6]","[0.0, 4.9, 43.8]","[59.1, 79.0, 95.1]","[0.0, 0.0, 0.0]","[13.0, 22.0, 41.0]","[39.6, 58.3, 86.4]","[32.1, 178.3, 273.4]","[2.4, 61.5, 100.0]"
2023-09-14,19.3,13.4,16.3,19.3,13.4,16.3,14.0,86.6,6.355,58.33,['rain'],0.0,0.0,50.4,18.8,16.6,1018.8,83.8,20.2,125.8,10.9,9.0,18.8,12.5,06:22:11,19:04:34,"[9.1, 18.6, 25.2]","[2.8, 9.6, 14.2]","[-0.5, 18.6, 25.2]","[0.0, 2.6, 15.2]","[60.6, 78.6, 93.1]","[0.0, 0.0, 0.0]","[9.7, 23.0, 43.9]","[43.2, 59.8, 90.0]","[46.5, 152.3, 250.3]","[3.7, 56.2, 98.3]"
2023-09-15,19.8,11.8,15.3,19.8,11.8,15.3,11.4,78.9,0.0,0.0,,0.0,0.0,46.8,20.5,46.2,1021.5,40.9,26.8,179.1,15.4,7.0,20.5,13.6,06:23:39,19:02:24,"[7.6, 18.1, 26.1]","[4.9, 9.7, 13.5]","[1.6, 18.1, 26.1]","[0.0, 3.1, 21.8]","[68.4, 81.2, 97.3]","[0.0, 0.0, 0.0]","[10.8, 24.5, 36.0]","[39.6, 55.4, 72.0]","[29.7, 194.6, 313.0]","[4.1, 63.7, 100.0]"
2023-09-16,23.0,10.8,16.7,23.0,10.8,16.7,11.5,73.5,0.067,4.17,['rain'],0.0,0.0,43.2,12.3,151.9,1019.8,22.6,37.1,210.6,18.1,7.0,12.3,8.4,06:25:06,19:00:14,"[8.1, 18.2, 25.3]","[3.6, 9.7, 15.9]","[-1.0, 18.2, 25.3]","[0.0, 2.4, 15.8]","[66.8, 79.7, 93.8]","[0.0, 0.0, 1.0]","[11.5, 22.0, 37.4]","[39.6, 54.7, 75.6]","[15.8, 198.4, 297.4]","[29.1, 66.1, 100.0]"
2023-09-17,22.9,13.8,18.0,22.9,13.8,18.0,13.8,77.7,0.0,0.0,,0.0,0.0,50.4,19.1,181.4,1018.2,49.9,31.3,170.2,15.0,8.0,19.1,12.8,06:26:34,18:58:04,"[7.1, 16.2, 27.4]","[2.7, 8.6, 16.3]","[-1.0, 16.2, 27.2]","[0.0, 5.5, 39.1]","[63.3, 83.4, 96.0]","[0.0, 0.1, 1.6]","[8.3, 21.2, 37.8]","[46.8, 59.8, 79.2]","[17.3, 182.9, 250.9]","[6.1, 68.5, 100.0]"
2023-09-18,23.6,14.1,18.7,23.6,14.1,18.7,13.8,74.3,0.0,0.0,,0.0,0.0,68.4,28.7,170.0,1014.0,55.1,23.0,161.0,14.0,6.0,28.7,19.1,06:28:02,18:55:54,"[8.5, 17.1, 26.1]","[2.7, 8.4, 15.7]","[-0.6, 17.1, 26.1]","[0.0, 1.4, 10.8]","[48.7, 77.3, 88.2]","[0.0, 0.0, 0.6]","[12.6, 24.5, 39.6]","[39.6, 60.1, 82.8]","[35.1, 192.6, 267.8]","[9.1, 58.6, 97.9]"
2023-09-19,21.8,14.0,17.3,21.8,14.0,17.3,14.4,83.4,6.119,45.83,['rain'],0.0,0.0,72.0,21.4,235.4,1012.1,73.1,16.1,78.5,6.8,6.0,21.4,14.3,06:29:29,18:53:43,"[8.5, 15.2, 26.6]","[3.7, 7.5, 12.8]","[-1.0, 15.2, 26.6]","[0.0, 2.6, 10.0]","[60.0, 81.7, 96.6]","[0.0, 0.0, 0.1]","[13.0, 22.0, 34.6]","[39.6, 61.9, 90.0]","[21.8, 182.3, 290.7]","[0.5, 65.4, 99.4]"
2023-09-20,21.9,10.9,16.1,21.9,10.9,16.1,11.5,76.2,0.0,0.0,,0.0,0.0,61.2,16.9,217.1,1015.9,32.1,38.3,199.8,17.3,7.0,16.9,13.5,06:30:57,18:51:33,"[7.1, 15.1, 28.5]","[2.3, 7.5, 12.8]","[-1.4, 15.1, 27.4]","[0.0, 2.3, 19.1]","[53.9, 81.3, 95.5]","[0.0, 0.0, 0.0]","[11.9, 20.2, 29.5]","[39.6, 58.0, 86.4]","[24.2, 187.9, 284.8]","[10.2, 66.8, 100.0]"
2023-09-21,22.3,13.2,18.0,22.3,13.2,18.0,12.2,70.4,0.0,0.0,,0.0,0.0,64.8,33.7,157.2,1008.9,33.3,37.2,185.8,16.1,7.0,33.7,22.3,06:32:25,18:49:23,"[7.3, 15.9, 26.9]","[2.2, 7.5, 13.8]","[-0.1, 15.9, 26.5]","[0.0, 2.1, 18.2]","[53.7, 79.3, 94.5]","[0.0, 0.0, 0.0]","[13.0, 22.3, 36.4]","[39.6, 58.0, 90.0]","[29.1, 191.2, 289.0]","[0.3, 55.8, 100.0]"
2023-09-22,23.4,16.1,18.9,23.4,16.1,18.9,14.2,74.5,1.507,12.5,['rain'],0.0,0.0,86.4,27.7,184.7,1004.9,73.4,27.7,175.6,15.2,8.0,27.7,21.1,06:33:53,18:47:12,"[9.2, 16.2, 27.8]","[2.5, 6.8, 11.3]","[-1.5, 16.2, 26.7]","[0.0, 2.7, 17.8]","[48.9, 78.5, 92.8]","[0.0, 0.0, 0.0]","[10.4, 22.7, 43.2]","[39.6, 60.5, 104.4]","[86.1, 210.5, 264.7]","[0.0, 52.4, 99.3]"
2023-09-23,16.5,12.6,14.1,16.5,12.6,14.1,12.2,88.3,5.71,62.5,['rain'],0.0,0.0,68.4,14.1,335.4,1013.6,96.4,21.2,44.7,4.0,2.0,14.1,9.8,06:35:22,18:45:02,"[9.3, 16.1, 26.1]","[2.6, 7.1, 11.6]","[-0.3, 16.1, 26.1]","[0.0, 2.5, 26.3]","[53.4, 78.9, 96.6]","[0.0, 0.0, 0.0]","[7.9, 22.7, 49.7]","[39.6, 60.5, 94.3]","[40.0, 214.0, 311.8]","[2.7, 60.0, 98.1]"
2023-09-24,13.7,10.4,12.2,13.7,10.4,12.2,8.7,79.5,0.345,25.0,['rain'],0.0,0.0,68.4,24.8,21.6,1023.9,95.0,29.4,68.6,6.0,4.0,24.8,18.5,06:36:50,18:42:52,"[6.1, 15.5, 22.5]","[1.2, 7.4, 13.8]","[-2.5, 15.5, 22.5]","[0.0, 2.7, 21.3]","[66.3, 80.5, 95.7]","[0.0, 0.0, 0.0]","[9.4, 21.6, 42.5]","[39.6, 63.4, 97.2]","[30.3, 174.8, 277.6]","[5.2, 61.3, 100.0]"
2023-09-25,19.1,12.3,15.3,19.1,12.3,15.3,12.5,83.4,0.0,0.0,,0.0,0.0,53.1,21.7,50.5,1025.6,72.1,24.8,141.8,12.2,6.0,21.7,14.5,06:38:18,18:40:42,"[7.1, 15.3, 22.7]","[3.1, 7.7, 11.8]","[-0.5, 15.3, 22.7]","[0.0, 2.0, 25.1]","[69.1, 80.9, 96.7]","[0.0, 0.0, 0.0]","[12.6, 22.3, 43.2]","[39.6, 61.9, 86.4]","[32.1, 164.0, 295.0]","[10.7, 64.7, 100.0]"
2023-09-26,24.0,14.2,17.8,24.0,14.2,17.8,14.1,80.4,0.0,0.0,,0.0,0.0,39.6,13.4,141.3,1024.3,50.0,20.8,179.4,15.5,6.0,13.4,8.6,06:39:47,18:38:32,"[10.1, 15.5, 23.2]","[0.6, 6.9, 9.7]","[-3.5, 15.5, 23.2]","[0.0, 4.6, 31.4]","[67.0, 84.2, 95.6]","[0.0, 0.0, 0.0]","[9.0, 20.5, 46.4]","[39.6, 59.0, 115.2]","[26.2, 171.1, 259.2]","[4.4, 60.1, 99.5]"
2023-09-27,24.8,11.2,17.3,24.8,11.2,17.3,10.3,66.1,0.0,0.0,,0.0,0.0,50.4,12.5,176.2,1023.5,7.5,31.1,181.5,15.6,6.0,12.5,9.1,06:41:16,18:36:22,"[8.3, 15.0, 21.8]","[2.9, 7.4, 11.9]","[-0.7, 15.0, 21.8]","[0.0, 2.2, 17.4]","[63.9, 83.0, 93.5]","[0.0, 0.0, 0.0]","[10.8, 22.0, 45.7]","[43.2, 61.6, 136.8]","[58.9, 190.6, 263.8]","[5.8, 65.1, 100.0]"
2023-09-28,26.0,11.0,17.1,26.0,11.0,17.1,9.7,64.6,0.0,0.0,,0.0,0.0,54.0,24.5,210.0,1021.7,9.3,28.6,178.6,15.4,6.0,24.5,13.1,06:42:45,18:34:13,"[7.1, 15.3, 21.6]","[1.1, 7.1, 11.9]","[-2.5, 15.3, 21.6]","[0.0, 1.4, 12.0]","[67.3, 81.1, 94.8]","[0.0, 0.0, 0.0]","[13.3, 23.0, 42.5]","[43.2, 61.2, 104.4]","[36.6, 178.5, 236.7]","[11.4, 63.1, 100.0]"
2023-09-29,23.4,10.7,16.8,23.4,10.7,16.8,9.3,63.7,0.0,0.0,,0.0,0.0,46.8,19.8,198.3,1021.6,18.6,30.7,171.5,15.0,6.0,19.8,13.1,06:44:14,18:32:03,"[8.6, 14.7, 21.0]","[1.3, 7.2, 13.5]","[-2.2, 14.7, 21.0]","[0.0, 2.7, 13.4]","[62.8, 80.8, 94.6]","[0.0, 0.0, 0.0]","[9.7, 23.4, 41.4]","[39.6, 60.5, 104.4]","[39.3, 188.7, 271.6]","[16.7, 63.8, 99.2]"
2023-09-30,14.5,8.2,13.0,14.5,6.1,12.7,10.3,84.4,4.103,50.0,['rain'],0.0,0.0,54.0,13.9,328.1,1023.0,72.4,20.2,19.7,1.7,1.0,13.9,10.7,06:45:44,18:29:54,"[5.0, 14.2, 22.1]","[0.2, 6.3, 12.7]","[-3.4, 14.2, 22.1]","[0.0, 2.5, 18.8]","[64.9, 80.3, 95.0]","[0.0, 0.0, 0.0]","[12.6, 20.5, 42.5]","[32.4, 59.0, 76.3]","[47.5, 194.5, 338.2]","[9.0, 60.6, 99.5]"
2023-10-01,16.4,6.1,11.0,16.4,4.0,10.2,7.9,82.8,0.0,0.0,,0.0,0.0,54.0,13.4,302.5,1025.9,69.8,27.1,127.0,10.9,6.0,13.4,9.7,06:47:13,18:27:46,"[8.1, 14.9, 21.7]","[0.1, 5.9, 12.6]","[-4.5, 14.9, 21.7]","[0.0, 2.1, 20.5]","[70.0, 81.7, 97.9]","[0.0, 0.0, 0.0]","[11.9, 23.4, 50.4]","[39.6, 64.1, 79.2]","[51.2, 182.5, 321.2]","[3.9, 60.7, 100.0]"
2023-10-02,20.9,11.9,15.3,20.9,11.9,15.3,10.0,72.1,0.019,4.17,['rain'],0.0,0.0,24.8,16.4,248.8,1024.3,68.6,34.0,158.9,13.6,6.0,16.4,10.5,06:48:43,18:25:37,"[7.4, 14.7, 19.2]","[0.7, 6.5, 11.8]","[-3.4, 14.7, 19.2]","[0.0, 3.1, 15.9]","[66.3, 80.9, 93.5]","[0.0, 0.0, 0.2]","[11.5, 24.1, 44.3]","[43.2, 62.6, 90.0]","[53.9, 194.0, 257.0]","[7.1, 63.2, 97.9]"
2023-10-03,22.2,11.8,17.0,22.2,11.8,17.0,11.0,68.8,0.0,0.0,,0.0,0.0,72.0,33.9,196.2,1018.6,46.7,31.5,167.4,14.6,6.0,33.9,22.4,06:50:13,18:23:29,"[8.0, 14.5, 21.0]","[-2.4, 7.1, 15.9]","[-6.3, 14.5, 21.0]","[0.0, 3.3, 19.5]","[63.1, 80.6, 93.1]","[0.0, 0.0, 0.1]","[14.4, 27.0, 57.6]","[46.8, 68.0, 97.2]","[38.5, 192.8, 279.3]","[6.8, 67.6, 99.9]"
2023-10-04,17.4,7.9,12.6,17.4,6.2,12.3,7.9,74.1,2.308,16.67,['rain'],0.0,0.0,56.0,22.3,285.6,1025.7,53.4,34.9,171.3,14.8,6.0,22.3,15.2,06:51:44,18:21:22,"[9.1, 14.7, 21.0]","[-3.3, 7.1, 12.8]","[-7.1, 14.7, 21.0]","[0.0, 3.7, 29.6]","[63.8, 81.6, 94.9]","[0.0, 0.0, 0.0]","[13.3, 24.8, 37.1]","[39.6, 67.7, 93.6]","[53.8, 207.3, 285.1]","[23.3, 65.3, 93.8]"
2023-10-05,17.7,5.9,10.7,17.7,3.3,9.6,6.1,75.2,0.0,0.0,,0.0,0.0,50.4,23.4,246.2,1025.2,59.6,32.3,140.8,12.0,6.0,23.4,14.3,06:53:14,18:19:15,"[4.4, 14.1, 21.4]","[0.3, 6.7, 10.7]","[-4.7, 14.1, 21.4]","[0.0, 4.1, 27.3]","[48.0, 79.7, 96.7]","[0.0, 0.2, 4.8]","[14.4, 28.1, 55.1]","[39.6, 67.0, 97.2]","[64.9, 201.8, 333.3]","[2.5, 62.5, 99.9]"
2023-10-06,16.2,7.5,11.4,16.2,6.0,10.9,7.2,76.4,0.019,4.17,['rain'],0.0,0.0,56.7,19.3,241.4,1025.9,63.5,31.3,137.0,11.8,6.0,19.3,11.2,06:54:45,18:17:08,"[5.6, 14.2, 22.1]","[0.0, 6.3, 10.2]","[-2.8, 14.2, 22.1]","[0.0, 2.0, 14.0]","[61.5, 79.5, 89.9]","[0.0, 0.5, 10.3]","[11.5, 27.0, 46.8]","[39.6, 68.0, 100.8]","[21.2, 191.4, 255.5]","[13.9, 65.7, 94.7]"
2023-10-07,18.8,9.7,13.8,18.8,7.2,13.5,7.9,68.1,0.027,8.33,['rain'],0.0,0.0,61.2,27.7,233.8,1019.5,74.7,37.2,144.3,12.5,6.0,27.7,21.9,06:56:16,18:15:02,"[5.2, 13.5, 21.5]","[-1.9, 5.9, 13.8]","[-5.6, 13.5, 21.5]","[0.0, 4.0, 27.2]","[69.0, 84.4, 94.0]","[0.0, 0.6, 9.8]","[10.4, 23.4, 37.1]","[39.6, 64.1, 97.2]","[56.9, 182.4, 305.5]","[26.6, 67.7, 96.0]"
2023-10-08,15.1,3.7,10.0,15.1,0.8,8.8,5.1,72.2,3.8,29.17,['rain'],0.0,0.0,66.2,24.8,318.9,1021.2,71.8,33.8,83.7,7.1,6.0,24.8,17.9,06:57:48,18:12:56,"[3.6, 12.6, 22.2]","[-1.5, 5.4, 12.6]","[-5.9, 12.6, 22.2]","[0.0, 1.2, 8.1]","[72.9, 83.0, 93.2]","[0.0, 0.7, 9.1]","[8.3, 23.4, 43.6]","[43.2, 65.5, 100.8]","[56.1, 210.2, 264.7]","[40.5, 69.1, 92.0]"
2023-10-09,8.3,3.8,6.1,7.2,1.2,3.6,4.2,88.1,6.112,75.0,['rain'],0.0,0.0,64.8,20.9,292.1,1021.9,97.9,17.8,10.3,1.0,0.0,20.9,12.4,06:59:20,18:10:51,"[5.6, 12.0, 19.1]","[0.3, 4.5, 11.3]","[-4.0, 12.0, 19.1]","[0.0, 2.5, 15.4]","[65.0, 83.1, 95.5]","[0.0, 0.6, 8.3]","[10.4, 20.9, 40.3]","[43.2, 61.9, 97.2]","[60.2, 183.4, 276.3]","[6.1, 59.9, 98.8]"
2023-10-10,14.9,8.1,11.2,14.9,6.8,10.6,9.8,91.7,0.31,33.33,['rain'],0.0,0.0,46.8,15.2,269.4,1020.7,92.3,9.1,76.0,6.5,4.0,15.2,10.1,07:00:52,18:08:46,"[5.7, 12.3, 20.5]","[-1.0, 4.5, 10.4]","[-5.3, 12.3, 20.5]","[0.0, 1.6, 11.8]","[66.3, 82.4, 91.8]","[0.0, 0.4, 7.7]","[9.0, 22.0, 33.1]","[39.6, 59.4, 82.8]","[57.5, 170.8, 255.2]","[0.6, 63.9, 100.0]"
2023-10-11,18.7,12.0,14.9,18.7,12.0,14.9,11.8,82.6,0.06,12.5,['rain'],0.0,0.0,79.2,29.7,206.9,1019.6,68.8,20.4,133.6,11.6,6.0,29.7,19.6,07:02:24,18:06:43,"[4.3, 12.4, 21.5]","[-1.1, 5.0, 9.9]","[-6.8, 12.4, 21.5]","[0.0, 1.5, 8.8]","[59.4, 81.5, 95.0]","[0.0, 0.4, 7.4]","[12.6, 24.1, 37.1]","[39.6, 57.6, 79.2]","[24.7, 157.8, 272.1]","[11.4, 65.9, 100.0]"
2023-10-12,20.8,12.5,15.6,20.8,12.5,15.6,11.9,79.5,0.623,20.83,['rain'],0.0,0.0,57.6,22.3,223.0,1016.7,69.9,20.9,115.1,9.9,6.0,22.3,15.5,07:03:57,18:04:39,"[1.5, 11.4, 20.1]","[-6.6, 3.8, 11.3]","[-17.2, 11.4, 20.1]","[0.0, 3.7, 25.6]","[73.9, 83.9, 96.1]","[0.0, 0.5, 7.1]","[11.5, 25.6, 50.4]","[43.2, 61.9, 82.8]","[28.5, 174.5, 272.9]","[0.8, 61.7, 100.0]"
2023-10-13,19.2,13.1,15.9,19.2,13.1,15.9,12.7,81.9,4.091,29.17,['rain'],0.0,0.0,61.2,20.1,206.6,1016.5,76.0,21.6,103.4,9.1,4.0,20.1,14.5,07:05:29,18:02:37,"[3.4, 11.0, 19.8]","[-2.7, 4.1, 10.9]","[-8.3, 11.0, 19.8]","[0.0, 3.2, 37.1]","[66.9, 84.2, 96.7]","[0.0, 1.0, 7.2]","[10.4, 21.2, 36.7]","[28.8, 59.0, 90.0]","[57.5, 204.9, 346.6]","[1.8, 65.8, 100.0]"
2023-10-14,19.7,10.9,15.5,19.7,10.9,15.5,11.4,77.8,5.502,20.83,['rain'],0.0,0.0,77.9,27.5,214.3,1010.3,77.1,20.3,95.3,8.2,4.0,27.5,20.1,07:07:03,18:00:35,"[1.2, 10.5, 20.0]","[-1.0, 4.2, 11.1]","[-6.8, 10.5, 20.0]","[0.0, 2.9, 29.5]","[65.0, 85.4, 96.9]","[0.0, 1.6, 18.4]","[10.8, 22.3, 34.9]","[43.2, 60.8, 93.6]","[40.4, 186.6, 322.8]","[0.0, 71.2, 100.0]"
2023-10-15,10.1,4.5,7.8,10.1,1.9,5.8,3.6,75.8,1.568,33.33,['rain'],0.0,0.0,52.1,16.7,308.2,1015.9,63.2,29.9,98.3,8.5,4.0,16.7,11.9,07:08:36,17:58:34,"[0.5, 11.7, 21.2]","[-1.3, 5.4, 10.4]","[-6.3, 11.7, 21.2]","[0.0, 2.3, 30.2]","[55.6, 83.2, 98.1]","[0.0, 2.0, 29.6]","[12.6, 25.2, 39.2]","[39.6, 65.2, 104.4]","[58.9, 208.4, 340.9]","[2.6, 75.4, 100.0]"
2023-10-16,7.5,1.6,4.2,4.8,-1.9,1.1,0.6,78.5,0.017,4.17,['rain'],0.0,0.0,46.8,18.5,261.0,1022.1,56.3,29.6,91.6,7.9,6.0,18.5,13.3,07:10:10,17:56:34,"[3.2, 11.2, 19.3]","[-2.7, 5.0, 10.7]","[-8.0, 11.2, 19.3]","[0.0, 3.8, 18.7]","[56.8, 85.4, 97.1]","[0.0, 2.1, 31.2]","[14.4, 27.7, 75.6]","[39.6, 60.8, 82.8]","[34.6, 170.1, 298.1]","[0.0, 71.8, 100.0]"
2023-10-17,9.0,0.0,3.6,8.5,-2.3,2.5,0.0,78.8,0.008,4.17,"['rain', 'snow']",0.0,0.0,14.4,7.8,38.2,1022.7,63.9,30.3,95.3,8.1,5.0,7.8,5.6,07:11:44,17:54:35,"[4.1, 10.9, 19.7]","[-2.2, 3.9, 9.8]","[-6.3, 10.9, 19.7]","[0.0, 1.5, 11.5]","[63.4, 82.0, 96.2]","[0.0, 2.2, 31.5]","[16.6, 23.0, 34.2]","[39.6, 60.5, 90.0]","[44.2, 189.0, 249.6]","[4.2, 61.1, 100.0]"
2023-10-18,11.1,-1.1,4.1,11.1,-3.9,2.1,-0.1,76.2,0.0,0.0,,0.0,0.0,54.0,17.9,188.2,1017.7,39.8,27.7,136.1,11.8,5.0,17.9,10.8,07:13:18,17:52:36,"[3.4, 10.7, 19.3]","[-3.5, 3.9, 9.6]","[-6.4, 10.7, 19.3]","[0.0, 2.4, 13.8]","[59.3, 82.3, 94.5]","[0.0, 2.1, 31.1]","[8.3, 25.9, 43.2]","[39.6, 65.2, 93.6]","[20.5, 207.5, 265.8]","[2.2, 65.4, 100.0]"
