Datum,Elektrárna,Klasifikace,Kapacita(kW),PV(kWh),Prodej(kWh),Koupit(kWh),Spotřeba(kWh),Spotřebováno v domácnosti(kWh),Vlastní poměr(%),Contribution Ratio(%),Příjem(CZK),Month,Year
2024-01-01,HFVE Zapletal Simon,Úložiště baterie,7.6,1.2,0.11,14.12,20.01,5.89,98.17,29.44,6,1,2024
2024-01-02,HFVE Zapletal Simon,Úložiště baterie,7.6,1.3,0.11,6.32,12.21,5.89,98.17,48.24,6.5,1,2024
2024-01-03,HFVE Zapletal Simon,Úložiště baterie,7.6,1.9,0.12,5.51,12.19,6.68,98.24,54.8,9.5,1,2024
2024-01-04,HFVE Zapletal Simon,Úložiště baterie,7.6,1.8,0.15,6.13,11.78,5.65,97.41,47.96,9,1,2024
2024-01-05,HFVE Zapletal Simon,Úložiště baterie,7.6,4.5,0.88,5.14,14.76,9.62,91.62,65.18,22.5,1,2024
2024-01-06,HFVE Zapletal Simon,Úložiště baterie,7.6,0.8,0.07,7.27,15.5,8.23,99.16,53.1,4,1,2024
2024-01-07,HFVE Zapletal Simon,Úložiště baterie,7.6,0.7,0.13,9.23,15.7,6.47,98.03,41.21,3.5,1,2024
2024-01-08,HFVE Zapletal Simon,Úložiště baterie,7.6,0.8,0.03,7.69,12.76,5.07,99.41,39.73,4,1,2024
2024-01-09,HFVE Zapletal Simon,Úložiště baterie,7.6,2.2,0.15,5.78,13.53,7.75,98.1,57.28,11,1,2024
2024-01-10,HFVE Zapletal Simon,Úložiště baterie,7.6,5.3,2.73,6.98,11.85,4.87,64.08,41.1,26.5,1,2024
2024-01-11,HFVE Zapletal Simon,Úložiště baterie,7.6,7,0.18,3.47,13.49,10.02,98.24,74.28,35,1,2024
2024-01-12,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.05,4.13,16.78,12.65,99.61,75.39,2,1,2024
2024-01-13,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.09,13.91,23.22,9.31,99.04,40.09,2,1,2024
2024-01-14,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.04,12.15,18.61,6.46,99.38,34.71,2,1,2024
2024-01-15,HFVE Zapletal Simon,Úložiště baterie,7.6,2.2,0.1,7.85,13.35,5.5,98.21,41.2,11,1,2024
2024-01-16,HFVE Zapletal Simon,Úložiště baterie,7.6,1.6,0.13,4.6,12.37,7.77,98.35,62.81,8,1,2024
2024-01-17,HFVE Zapletal Simon,Úložiště baterie,7.6,4.6,2.38,7.99,13.91,5.92,71.33,42.56,23,1,2024
2024-01-18,HFVE Zapletal Simon,Úložiště baterie,7.6,1.3,0.05,4.64,9.59,4.95,99,51.62,6.5,1,2024
2024-01-19,HFVE Zapletal Simon,Úložiště baterie,7.6,0.6,0.06,4.96,16.2,11.24,99.47,69.38,3,1,2024
2024-01-20,HFVE Zapletal Simon,Úložiště baterie,7.6,7.2,3.77,12.87,18.5,5.63,59.89,30.43,36,1,2024
2024-01-21,HFVE Zapletal Simon,Úložiště baterie,7.6,12.6,4.52,3.31,14.99,11.68,72.1,77.92,63,1,2024
2024-01-22,HFVE Zapletal Simon,Úložiště baterie,7.6,10.5,8.33,5.1,9.87,4.77,36.41,48.33,52.5,1,2024
2024-01-23,HFVE Zapletal Simon,Úložiště baterie,7.6,2.6,1.01,3.48,9.87,6.39,86.35,64.74,13,1,2024
2024-01-24,HFVE Zapletal Simon,Úložiště baterie,7.6,0.9,0.08,6.1,15.02,8.92,99.11,59.39,4.5,1,2024
2024-01-25,HFVE Zapletal Simon,Úložiště baterie,7.6,1.1,0.08,9.77,14.59,4.82,98.37,33.04,5.5,1,2024
2024-01-26,HFVE Zapletal Simon,Úložiště baterie,7.6,14.3,7.99,5.01,13.62,8.61,51.87,63.22,71.5,1,2024
2024-01-27,HFVE Zapletal Simon,Úložiště baterie,7.6,4.6,0.32,3.19,14.87,11.68,97.33,78.55,23,1,2024
2024-01-28,HFVE Zapletal Simon,Úložiště baterie,7.6,2.7,0.17,9.15,16.88,7.73,97.85,45.79,13.5,1,2024
2024-01-29,HFVE Zapletal Simon,Úložiště baterie,7.6,21.5,11.33,0.03,7.6,7.57,40.05,99.61,107.5,1,2024
2024-01-30,HFVE Zapletal Simon,Úložiště baterie,7.6,21.6,8.08,0.03,16.35,16.32,66.89,99.82,108,1,2024
2024-01-31,HFVE Zapletal Simon,Úložiště baterie,7.6,4.8,0.11,0.03,7.82,7.79,98.61,99.62,24,1,2024
2025-01-01,HFVE Zapletal Simon,Úložiště baterie,7.6,13,0.2,1.79,9.99,8.2,97.62,82.08,65,1,2025
2025-01-02,HFVE Zapletal Simon,Úložiště baterie,7.6,5.6,0.1,3.19,13.49,10.3,99.04,76.35,28,1,2025
2025-01-03,HFVE Zapletal Simon,Úložiště baterie,7.6,0.8,0.06,15.86,25.2,9.34,99.36,37.06,4,1,2025
2025-01-04,HFVE Zapletal Simon,Úložiště baterie,7.6,10.8,5.45,11.13,19.08,7.95,59.33,41.67,54,1,2025
2025-01-05,HFVE Zapletal Simon,Úložiště baterie,7.6,1.9,0.12,4.18,14.36,10.18,98.83,70.89,9.5,1,2025
2025-01-06,HFVE Zapletal Simon,Úložiště baterie,7.6,5.4,2.58,10.19,16.81,6.62,71.96,39.38,27,1,2025
2025-01-07,HFVE Zapletal Simon,Úložiště baterie,7.6,1,0.06,5.71,13.55,7.84,99.24,57.86,5,1,2025
2025-01-08,HFVE Zapletal Simon,Úložiště baterie,7.6,1,0.08,8.74,18.46,9.72,99.18,52.65,5,1,2025
2025-01-09,HFVE Zapletal Simon,Úložiště baterie,7.6,4.9,0.28,10.77,19.89,9.12,97.02,45.85,24.5,1,2025
2025-01-10,HFVE Zapletal Simon,Úložiště baterie,7.6,1.4,0.1,5.78,18.48,12.7,99.22,68.72,7,1,2025
2025-01-11,HFVE Zapletal Simon,Úložiště baterie,7.6,2.6,0.08,13.75,20.07,6.32,98.75,31.49,13,1,2025
2025-01-12,HFVE Zapletal Simon,Úložiště baterie,7.6,0.5,0.04,5.81,11.47,5.66,99.3,49.35,2.5,1,2025
2025-01-13,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.04,6.71,13.57,6.86,99.42,50.55,2,1,2025
2025-01-14,HFVE Zapletal Simon,Úložiště baterie,7.6,4.6,0.13,7.9,16.57,8.67,98.52,52.32,23,1,2025
2025-01-15,HFVE Zapletal Simon,Úložiště baterie,7.6,0.6,0.11,7.37,15.86,8.49,98.72,53.53,3,1,2025
2025-01-16,HFVE Zapletal Simon,Úložiště baterie,7.6,1.3,0.07,10.32,23.05,12.73,99.45,55.23,6.5,1,2025
2025-01-17,HFVE Zapletal Simon,Úložiště baterie,7.6,1.7,0.08,13.78,22.9,9.12,99.13,39.83,8.5,1,2025
2025-01-18,HFVE Zapletal Simon,Úložiště baterie,7.6,10.7,6.94,10.3,16.76,6.46,48.21,38.54,53.5,1,2025
