datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,windspeedmax,windspeedmean,sunrise,sunset,normal.tempmax,normal.tempmin,normal.feelslike,normal.precip,normal.humidity,normal.snowdepth,normal.windspeed,normal.windgust,normal.winddir,normal.cloudcover
2023-09-11,26.4,13.9,19.8,26.4,13.9,19.8,13.6,69.3,0.0,0.0,,0.0,0.0,24.1,14.2,244.1,1015.8,8.6,30.0,212.9,18.3,7.0,14.2,8.6,06:17:49,19:11:03,"[10.9, 19.5, 27.0]","[5.8, 10.8, 14.2]","[1.7, 19.5, 27.2]","[0.0, 2.6, 10.1]","[48.3, 78.7, 96.9]","[0.0, 0.0, 0.0]","[10.8, 21.2, 40.7]","[39.6, 56.2, 86.4]","[40.0, 183.2, 286.6]","[5.9, 61.9, 100.0]"
2023-09-12,26.9,14.6,20.2,27.1,14.6,20.3,13.9,68.9,0.0,0.0,,0.0,0.0,25.2,11.4,222.4,1013.7,42.4,27.4,202.2,17.4,7.0,11.4,7.7,06:19:17,19:08:54,"[12.2, 18.8, 26.1]","[5.1, 10.1, 14.8]","[2.4, 18.8, 26.1]","[0.0, 2.0, 9.5]","[57.4, 78.5, 94.6]","[0.0, 0.0, 0.0]","[11.9, 22.0, 31.0]","[39.6, 55.4, 97.2]","[24.2, 187.8, 297.1]","[2.9, 57.8, 98.8]"
2023-09-13,25.9,15.1,19.8,25.9,15.1,19.8,14.5,72.8,2.353,25.0,['rain'],0.0,0.0,50.4,18.7,227.0,1013.5,64.5,22.9,181.5,15.9,6.0,18.7,10.4,06:20:44,19:06:44,"[8.7, 18.1, 25.6]","[4.1, 9.6, 14.2]","[0.1, 18.1, 25.6]","[0.0, 4.9, 43.8]","[59.1, 79.0, 95.1]","[0.0, 0.0, 0.0]","[13.0, 22.0, 41.0]","[39.6, 58.3, 86.4]","[32.1, 178.3, 273.4]","[2.4, 61.5, 100.0]"
2023-09-14,19.3,13.4,16.3,19.3,13.4,16.3,14.0,86.7,6.297,58.33,['rain'],0.0,0.0,50.4,19.0,16.5,1018.8,83.8,20.1,125.8,10.9,9.0,19.0,12.5,06:22:11,19:04:35,"[9.1, 18.6, 25.2]","[2.8, 9.6, 14.2]","[-0.5, 18.6, 25.2]","[0.0, 2.6, 15.2]","[60.6, 78.6, 93.1]","[0.0, 0.0, 0.0]","[9.7, 23.0, 43.9]","[43.2, 59.8, 90.0]","[46.5, 152.3, 250.3]","[3.7, 56.2, 98.3]"
2023-09-15,19.8,11.8,15.3,19.8,11.8,15.3,11.4,78.9,0.0,0.0,,0.0,0.0,46.8,20.5,46.5,1021.6,41.1,26.8,179.1,15.4,7.0,20.5,13.6,06:23:39,19:02:25,"[7.6, 18.1, 26.1]","[4.9, 9.7, 13.5]","[1.6, 18.1, 26.1]","[0.0, 3.1, 21.8]","[68.4, 81.2, 97.3]","[0.0, 0.0, 0.0]","[10.8, 24.5, 36.0]","[39.6, 55.4, 72.0]","[29.7, 194.6, 313.0]","[4.1, 63.7, 100.0]"
2023-09-16,23.0,10.8,16.7,23.0,10.8,16.7,11.5,73.5,0.066,4.17,['rain'],0.0,0.0,43.2,12.2,152.0,1019.8,22.6,37.0,210.6,18.1,7.0,12.2,8.4,06:25:06,19:00:15,"[8.1, 18.2, 25.3]","[3.6, 9.7, 15.9]","[-1.0, 18.2, 25.3]","[0.0, 2.4, 15.8]","[66.8, 79.7, 93.8]","[0.0, 0.0, 1.0]","[11.5, 22.0, 37.4]","[39.6, 54.7, 75.6]","[15.8, 198.4, 297.4]","[29.1, 66.1, 100.0]"
2023-09-17,22.9,13.8,18.0,22.9,13.8,18.0,13.8,77.8,0.0,0.0,,0.0,0.0,50.4,19.1,181.8,1018.2,49.9,31.2,170.2,15.0,8.0,19.1,12.7,06:26:34,18:58:04,"[7.1, 16.2, 27.4]","[2.7, 8.6, 16.3]","[-1.0, 16.2, 27.2]","[0.0, 5.5, 39.1]","[63.3, 83.4, 96.0]","[0.0, 0.1, 1.6]","[8.3, 21.2, 37.8]","[46.8, 59.8, 79.2]","[17.3, 182.9, 250.9]","[6.1, 68.5, 100.0]"
2023-09-18,23.7,14.1,18.7,23.7,14.1,18.7,13.8,74.3,0.0,0.0,,0.0,0.0,68.4,28.7,170.9,1014.0,55.1,22.9,161.0,14.0,6.0,28.7,19.0,06:28:02,18:55:54,"[8.5, 17.1, 26.1]","[2.7, 8.4, 15.7]","[-0.6, 17.1, 26.1]","[0.0, 1.4, 10.8]","[48.7, 77.3, 88.2]","[0.0, 0.0, 0.6]","[12.6, 24.5, 39.6]","[39.6, 60.1, 82.8]","[35.1, 192.6, 267.8]","[9.1, 58.6, 97.9]"
2023-09-19,21.8,14.0,17.4,21.8,14.0,17.4,14.4,83.4,6.052,45.83,['rain'],0.0,0.0,72.0,21.5,235.1,1012.1,73.1,16.1,78.5,6.8,6.0,21.5,14.3,06:29:29,18:53:44,"[8.5, 15.2, 26.6]","[3.7, 7.5, 12.8]","[-1.0, 15.2, 26.6]","[0.0, 2.6, 10.0]","[60.0, 81.7, 96.6]","[0.0, 0.0, 0.1]","[13.0, 22.0, 34.6]","[39.6, 61.9, 90.0]","[21.8, 182.3, 290.7]","[0.5, 65.4, 99.4]"
2023-09-20,21.9,10.9,16.1,21.9,10.9,16.1,11.5,76.1,0.0,0.0,,0.0,0.0,61.2,16.8,217.6,1015.9,32.0,38.2,199.8,17.3,7.0,16.8,13.5,06:30:57,18:51:33,"[7.1, 15.1, 28.5]","[2.3, 7.5, 12.8]","[-1.4, 15.1, 27.4]","[0.0, 2.3, 19.1]","[53.9, 81.3, 95.5]","[0.0, 0.0, 0.0]","[11.9, 20.2, 29.5]","[39.6, 58.0, 86.4]","[24.2, 187.9, 284.8]","[10.2, 66.8, 100.0]"
